description,founded,franchising_since,industry,initial_investment,name,parent_company,ranking,ranking_last_year,units
"Child and adult swimming lessons, parties, summer camps",2005,2014,Children's Businesses,$48K - $2.1M,SafeSplash/SwimLabs/Swimtastic,Streamline Brands,#249,Ranked #329 last year,"[{""year"":""2013"",""us"":"""",""fgn"":0,""com"":""11"",""total"":11},{""year"":""2014"",""us"":""0"",""fgn"":0,""com"":""7"",""total"":7},{""year"":""2015"",""us"":""61"",""fgn"":0,""com"":""22"",""total"":83},{""year"":""2016"",""us"":""66"",""fgn"":31,""com"":""24"",""total"":121},{""year"":""2017"",""us"":""74"",""fgn"":41,""com"":""18"",""total"":133},{""year"":""2018"",""us"":""96"",""fgn"":46,""com"":""8"",""total"":150},{""year"":""2019"",""us"":""105"",""fgn"":49,""com"":""9"",""total"":163},{""year"":""2020"",""us"":""101"",""fgn"":49,""com"":""7"",""total"":157},{""year"":""2021"",""us"":""114"",""fgn"":49,""com"":""10"",""total"":173},{""year"":""2022"",""us"":""127"",""fgn"":49,""com"":""16"",""total"":192}]"
Auto collision repair,1989,1989,Automotive,$298K - $804K,Carstar,Driven Brands,#248,Ranked #193 last year,"[{""year"":""2013"",""us"":""245"",""fgn"":192,""com"":""1"",""total"":438},{""year"":""2014"",""us"":""225"",""fgn"":205,""com"":""1"",""total"":431},{""year"":""2015"",""us"":""232"",""fgn"":210,""com"":""1"",""total"":443},{""year"":""2016"",""us"":""240"",""fgn"":250,""com"":""1"",""total"":491},{""year"":""2017"",""us"":""252"",""fgn"":281,""com"":""1"",""total"":534},{""year"":""2018"",""us"":""311"",""fgn"":292,""com"":""1"",""total"":604},{""year"":""2019"",""us"":""364"",""fgn"":311,""com"":""2"",""total"":677},{""year"":""2020"",""us"":""386"",""fgn"":314,""com"":""2"",""total"":702},{""year"":""2021"",""us"":""395"",""fgn"":322,""com"":""2"",""total"":719},{""year"":""2022"",""us"":""416"",""fgn"":329,""com"":""14"",""total"":759}]"
Gyms,2012,2015,Health & Wellness,$200K - $486K,Burn Boot Camp,"Morgan Kline, CEO & Founder",#247,Ranked #132 last year,"[{""year"":""2015"",""us"":""10"",""fgn"":0,""com"":""3"",""total"":13},{""year"":""2016"",""us"":""28"",""fgn"":0,""com"":""5"",""total"":33},{""year"":""2017"",""us"":""71"",""fgn"":0,""com"":""4"",""total"":75},{""year"":""2018"",""us"":""151"",""fgn"":0,""com"":""3"",""total"":154},{""year"":""2019"",""us"":""212"",""fgn"":0,""com"":""4"",""total"":216},{""year"":""2020"",""us"":""257"",""fgn"":0,""com"":""4"",""total"":261},{""year"":""2021"",""us"":""285"",""fgn"":0,""com"":""4"",""total"":289},{""year"":""2022"",""us"":""310"",""fgn"":0,""com"":""9"",""total"":319}]"
"Coffee, specialty drinks, breakfast and lunch items",2004,2016,Food,$386K - $1.5M,Ziggi's Coffee,"Brandon Knudsen, President/Cofounder",#246,Ranked #283 last year,"[{""year"":""2016"",""us"":""0"",""fgn"":0,""com"":""6"",""total"":6},{""year"":""2017"",""us"":""1"",""fgn"":0,""com"":""6"",""total"":7},{""year"":""2018"",""us"":""8"",""fgn"":0,""com"":""6"",""total"":14},{""year"":""2019"",""us"":""14"",""fgn"":0,""com"":""7"",""total"":21},{""year"":""2020"",""us"":""18"",""fgn"":0,""com"":""7"",""total"":25},{""year"":""2021"",""us"":""30"",""fgn"":0,""com"":""7"",""total"":37},{""year"":""2022"",""us"":""47"",""fgn"":0,""com"":""8"",""total"":55},{""year"":""2023"",""us"":""62"",""fgn"":0,""com"":""8"",""total"":70}]"
Facility services and commercial cleaning,1988,1988,Maintenance,$8K - $49K,Jantize America,Dorfercim Inc.,#245,Ranked #340 last year,"[{""year"":""2013"",""us"":""76"",""fgn"":0,""com"":""0"",""total"":76},{""year"":""2014"",""us"":""89"",""fgn"":0,""com"":""1"",""total"":90},{""year"":""2015"",""us"":""107"",""fgn"":0,""com"":""0"",""total"":107},{""year"":""2016"",""us"":""124"",""fgn"":0,""com"":""0"",""total"":124},{""year"":""2017"",""us"":""124"",""fgn"":0,""com"":""2"",""total"":126},{""year"":""2018"",""us"":""119"",""fgn"":0,""com"":""2"",""total"":121},{""year"":""2019"",""us"":""115"",""fgn"":0,""com"":""0"",""total"":115},{""year"":""2020"",""us"":""125"",""fgn"":0,""com"":""0"",""total"":125},{""year"":""2021"",""us"":""140"",""fgn"":0,""com"":""0"",""total"":140},{""year"":""2022"",""us"":""155"",""fgn"":0,""com"":""0"",""total"":155}]"
"Massage, facial, and waxing services",2004,2006,Personal-Care Businesses,$591K - $740K,Hand & Stone Massage and Facial Spa,HS Parent Inc.,#244,Ranked #296 last year,"[{""year"":""2013"",""us"":""101"",""fgn"":8,""com"":""2"",""total"":111},{""year"":""2014"",""us"":""148"",""fgn"":11,""com"":""2"",""total"":161},{""year"":""2015"",""us"":""207"",""fgn"":14,""com"":""1"",""total"":222},{""year"":""2016"",""us"":""263"",""fgn"":19,""com"":""1"",""total"":283},{""year"":""2017"",""us"":""302"",""fgn"":23,""com"":""1"",""total"":326},{""year"":""2018"",""us"":""353"",""fgn"":26,""com"":""1"",""total"":380},{""year"":""2019"",""us"":""405"",""fgn"":28,""com"":""1"",""total"":434},{""year"":""2020"",""us"":""440"",""fgn"":31,""com"":""2"",""total"":473},{""year"":""2021"",""us"":""454"",""fgn"":33,""com"":""6"",""total"":493},{""year"":""2022"",""us"":""480"",""fgn"":33,""com"":""12"",""total"":525},{""year"":""2023"",""us"":""489"",""fgn"":35,""com"":""15"",""total"":539}]"
Industrial staffing,1975,1975,Business Services,$129K - $221K,Labor Finders,Labor Finders Int'l. Inc.,#243,Ranked #273 last year,"[{""year"":""2013"",""us"":""178"",""fgn"":0,""com"":""0"",""total"":178},{""year"":""2014"",""us"":""182"",""fgn"":0,""com"":""0"",""total"":182},{""year"":""2015"",""us"":""182"",""fgn"":0,""com"":""0"",""total"":182},{""year"":""2016"",""us"":""187"",""fgn"":0,""com"":""0"",""total"":187},{""year"":""2017"",""us"":""193"",""fgn"":0,""com"":""0"",""total"":193},{""year"":""2018"",""us"":""194"",""fgn"":0,""com"":""0"",""total"":194},{""year"":""2019"",""us"":""195"",""fgn"":0,""com"":""0"",""total"":195},{""year"":""2020"",""us"":""194"",""fgn"":0,""com"":""0"",""total"":194},{""year"":""2021"",""us"":""187"",""fgn"":0,""com"":""0"",""total"":187},{""year"":""2022"",""us"":""185"",""fgn"":0,""com"":""0"",""total"":185}]"
"Rent-to-own home furnishings, electronics, and appliances",1961,2009,Retail,$356K - $879K,Buddy's Home Furnishings,Franchise Group Inc.,#242,Ranked #226 last year,"[{""year"":""2014"",""us"":""103"",""fgn"":2,""com"":""61"",""total"":166},{""year"":""2015"",""us"":""137"",""fgn"":2,""com"":""54"",""total"":193},{""year"":""2016"",""us"":""176"",""fgn"":2,""com"":""33"",""total"":211},{""year"":""2017"",""us"":""255"",""fgn"":2,""com"":""31"",""total"":288},{""year"":""2018"",""us"":""259"",""fgn"":0,""com"":""36"",""total"":295},{""year"":""2019"",""us"":""258"",""fgn"":0,""com"":""34"",""total"":292},{""year"":""2020"",""us"":""199"",""fgn"":0,""com"":""92"",""total"":291},{""year"":""2021"",""us"":""262"",""fgn"":0,""com"":""45"",""total"":307},{""year"":""2022"",""us"":""293"",""fgn"":0,""com"":""37"",""total"":330},{""year"":""2023"",""us"":""302"",""fgn"":0,""com"":""36"",""total"":338}]"
Children's hair salons,1994,1996,Personal-Care Businesses,$142K - $357K,Cookie Cutters Haircuts for Kids,Cookie Cutters Franchising Inc.,#241,Ranked #210 last year,"[{""year"":""2013"",""us"":""19"",""fgn"":1,""com"":""5"",""total"":25},{""year"":""2014"",""us"":""20"",""fgn"":1,""com"":""3"",""total"":24},{""year"":""2015"",""us"":""25"",""fgn"":1,""com"":""1"",""total"":27},{""year"":""2016"",""us"":""28"",""fgn"":1,""com"":""1"",""total"":30},{""year"":""2017"",""us"":""41"",""fgn"":1,""com"":""1"",""total"":43},{""year"":""2018"",""us"":""78"",""fgn"":4,""com"":""1"",""total"":83},{""year"":""2019"",""us"":""96"",""fgn"":5,""com"":""1"",""total"":102},{""year"":""2020"",""us"":""105"",""fgn"":3,""com"":""2"",""total"":110},{""year"":""2021"",""us"":""107"",""fgn"":3,""com"":""2"",""total"":112},{""year"":""2022"",""us"":""108"",""fgn"":3,""com"":""2"",""total"":113}]"
"Physical therapy, balance and vestibular therapy, preventive wellness services",2012,2013,Health & Wellness,$181K - $473K,Fyzical Therapy & Balance Centers,Fyzical LLC,#240,Ranked #224 last year,"[{""year"":""2013"",""us"":""20"",""fgn"":0,""com"":""0"",""total"":20},{""year"":""2014"",""us"":""65"",""fgn"":0,""com"":""4"",""total"":69},{""year"":""2015"",""us"":""138"",""fgn"":0,""com"":""5"",""total"":143},{""year"":""2016"",""us"":""176"",""fgn"":0,""com"":""18"",""total"":194},{""year"":""2017"",""us"":""242"",""fgn"":0,""com"":""22"",""total"":264},{""year"":""2018"",""us"":""310"",""fgn"":0,""com"":""6"",""total"":316},{""year"":""2019"",""us"":""370"",""fgn"":0,""com"":""14"",""total"":384},{""year"":""2020"",""us"":""385"",""fgn"":0,""com"":""22"",""total"":407},{""year"":""2021"",""us"":""381"",""fgn"":0,""com"":""50"",""total"":431},{""year"":""2022"",""us"":""416"",""fgn"":0,""com"":""57"",""total"":473}]"
Real estate,,2019,Services (Other),$53K - $541K,Corcoran,,#239,Ranked #297 last year,"[{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""24"",""total"":24},{""year"":""2019"",""us"":""0"",""fgn"":0,""com"":""26"",""total"":26},{""year"":""2020"",""us"":""22"",""fgn"":0,""com"":""28"",""total"":50},{""year"":""2021"",""us"":""74"",""fgn"":2,""com"":""28"",""total"":104},{""year"":""2022"",""us"":""118"",""fgn"":5,""com"":""28"",""total"":151}]"
Mexican food,2008,2015,Food,$316K - $672K,Bubbakoo's Burritos,Bubbakoo’s Franchise Systems LLC,#238,Ranked #335 last year,"[{""year"":""2014"",""us"":""0"",""fgn"":0,""com"":""7"",""total"":7},{""year"":""2015"",""us"":""0"",""fgn"":0,""com"":""8"",""total"":8},{""year"":""2016"",""us"":""1"",""fgn"":0,""com"":""9"",""total"":10},{""year"":""2017"",""us"":""5"",""fgn"":0,""com"":""11"",""total"":16},{""year"":""2018"",""us"":""9"",""fgn"":0,""com"":""10"",""total"":19},{""year"":""2019"",""us"":""21"",""fgn"":0,""com"":""9"",""total"":30},{""year"":""2020"",""us"":""25"",""fgn"":0,""com"":""11"",""total"":36},{""year"":""2021"",""us"":""42"",""fgn"":0,""com"":""11"",""total"":53},{""year"":""2022"",""us"":""73"",""fgn"":0,""com"":""13"",""total"":86}]"
Real estate,1971,1972,Services (Other),$27K - $435K,ERA Real Estate,Anywhere Real Estate Inc.,#237,Ranked #388 last year,"[{""year"":""2013"",""us"":""560"",""fgn"":1751,""com"":""11"",""total"":2322},{""year"":""2018"",""us"":""496"",""fgn"":1800,""com"":""0"",""total"":2296},{""year"":""2019"",""us"":""512"",""fgn"":1821,""com"":""0"",""total"":2333},{""year"":""2020"",""us"":""477"",""fgn"":1810,""com"":""0"",""total"":2287},{""year"":""2021"",""us"":""468"",""fgn"":1850,""com"":""0"",""total"":2318},{""year"":""2022"",""us"":""472"",""fgn"":1883,""com"":""0"",""total"":2355}]"
"Residential and commercial repair, maintenance, and improvement services",2000,2000,Maintenance,$118K - $154K,Mr. Handyman,Neighborly,#236,Ranked #286 last year,"[{""year"":""2013"",""us"":""187"",""fgn"":20,""com"":""0"",""total"":207},{""year"":""2014"",""us"":""192"",""fgn"":18,""com"":""0"",""total"":210},{""year"":""2015"",""us"":""191"",""fgn"":12,""com"":""0"",""total"":203},{""year"":""2016"",""us"":""180"",""fgn"":11,""com"":""0"",""total"":191},{""year"":""2017"",""us"":""197"",""fgn"":12,""com"":""0"",""total"":209},{""year"":""2018"",""us"":""202"",""fgn"":13,""com"":""0"",""total"":215},{""year"":""2019"",""us"":""215"",""fgn"":16,""com"":""0"",""total"":231},{""year"":""2020"",""us"":""234"",""fgn"":15,""com"":""0"",""total"":249},{""year"":""2021"",""us"":""257"",""fgn"":15,""com"":""0"",""total"":272},{""year"":""2022"",""us"":""306"",""fgn"":13,""com"":""0"",""total"":319}]"
Insulation,2018,2020,Home Improvement,$148K - $190K,Koala Insulation,"Scott Marr, Founder & CEO",#235,Ranked #242 last year,"[{""year"":""2018"",""us"":""0"",""fgn"":0,""com"":""1"",""total"":1},{""year"":""2019"",""us"":""0"",""fgn"":0,""com"":""2"",""total"":2},{""year"":""2020"",""us"":""3"",""fgn"":0,""com"":""0"",""total"":3},{""year"":""2021"",""us"":""213"",""fgn"":0,""com"":""0"",""total"":213},{""year"":""2022"",""us"":""313"",""fgn"":0,""com"":""0"",""total"":313}]"
Hotels,1995,1995,Lodging,$336K - $12.5M,Wingate by Wyndham,Wyndham Hotels & Resorts,#300,Not ranked last year,"[{""year"":""2013"",""us"":""154"",""fgn"":4,""com"":""0"",""total"":158},{""year"":""2014"",""us"":""149"",""fgn"":4,""com"":""0"",""total"":153},{""year"":""2015"",""us"":""146"",""fgn"":4,""com"":""0"",""total"":150},{""year"":""2016"",""us"":""141"",""fgn"":7,""com"":""0"",""total"":148},{""year"":""2017"",""us"":""147"",""fgn"":8,""com"":""0"",""total"":155},{""year"":""2018"",""us"":""146"",""fgn"":11,""com"":""0"",""total"":157},{""year"":""2019"",""us"":""154"",""fgn"":10,""com"":""0"",""total"":164},{""year"":""2020"",""us"":""169"",""fgn"":12,""com"":""0"",""total"":181},{""year"":""2021"",""us"":""160"",""fgn"":14,""com"":""0"",""total"":174},{""year"":""2022"",""us"":""164"",""fgn"":15,""com"":""0"",""total"":179}]"
Indoor golf entertainment centers,2005,2015,Recreation,$610K - $1.4M,X-Golf,X-Golf America,#299,Ranked #254 last year,"[{""year"":""2017"",""us"":""4"",""fgn"":0,""com"":""0"",""total"":4},{""year"":""2018"",""us"":""9"",""fgn"":0,""com"":""0"",""total"":9},{""year"":""2019"",""us"":""14"",""fgn"":0,""com"":""0"",""total"":14},{""year"":""2020"",""us"":""23"",""fgn"":0,""com"":""0"",""total"":23},{""year"":""2021"",""us"":""34"",""fgn"":0,""com"":""0"",""total"":34},{""year"":""2022"",""us"":""59"",""fgn"":0,""com"":""0"",""total"":59}]"
"Chicken fingers, Buffalo wings, sandwiches, salads",1990,1994,Food,$502K - $950K,Zaxby's,Zaxby's Franchising LLC,#298,Ranked #169 last year,"[{""year"":""2013"",""us"":""483"",""fgn"":0,""com"":""98"",""total"":581},{""year"":""2014"",""us"":""518"",""fgn"":0,""com"":""104"",""total"":622},{""year"":""2015"",""us"":""574"",""fgn"":0,""com"":""122"",""total"":696},{""year"":""2018"",""us"":""736"",""fgn"":0,""com"":""141"",""total"":877},{""year"":""2019"",""us"":""757"",""fgn"":0,""com"":""141"",""total"":898},{""year"":""2020"",""us"":""760"",""fgn"":0,""com"":""146"",""total"":906},{""year"":""2021"",""us"":""762"",""fgn"":0,""com"":""146"",""total"":908},{""year"":""2022"",""us"":""768"",""fgn"":0,""com"":""144"",""total"":912}]"
Hotels,2017,2017,Lodging,$228K - $14.7M,Trademark Collection by Wyndham,Wyndham Hotels & Resorts,#297,Not ranked last year,"[{""year"":""2017"",""us"":""4"",""fgn"":52,""com"":""0"",""total"":56},{""year"":""2018"",""us"":""27"",""fgn"":54,""com"":""0"",""total"":81},{""year"":""2019"",""us"":""27"",""fgn"":57,""com"":""0"",""total"":84},{""year"":""2020"",""us"":""39"",""fgn"":62,""com"":""0"",""total"":101},{""year"":""2021"",""us"":""48"",""fgn"":65,""com"":""0"",""total"":113},{""year"":""2022"",""us"":""56"",""fgn"":89,""com"":""0"",""total"":145}]"
"Chiropractic services, massage therapy, nutritional supplements",2004,2015,Health & Wellness,$331K - $695K,100% Chiropractic,100% Inc.,#296,Ranked #454 last year,"[{""year"":""2013"",""us"":"""",""fgn"":0,""com"":""9"",""total"":9},{""year"":""2014"",""us"":"""",""fgn"":0,""com"":""12"",""total"":12},{""year"":""2015"",""us"":""18"",""fgn"":0,""com"":""2"",""total"":20},{""year"":""2016"",""us"":""24"",""fgn"":0,""com"":""2"",""total"":26},{""year"":""2017"",""us"":""24"",""fgn"":0,""com"":""1"",""total"":25},{""year"":""2018"",""us"":""33"",""fgn"":0,""com"":""1"",""total"":34},{""year"":""2019"",""us"":""32"",""fgn"":0,""com"":""2"",""total"":34},{""year"":""2020"",""us"":""36"",""fgn"":0,""com"":""2"",""total"":38},{""year"":""2021"",""us"":""49"",""fgn"":0,""com"":""2"",""total"":51},{""year"":""2022"",""us"":""82"",""fgn"":0,""com"":""4"",""total"":86},{""year"":""2023"",""us"":""97"",""fgn"":0,""com"":""4"",""total"":101}]"
Ice cream,,1989,Food,$264K - $865K,Handel's Homemade Ice Cream,,#295,Not ranked last year,"[{""year"":""2016"",""us"":""26"",""fgn"":0,""com"":""11"",""total"":37},{""year"":""2017"",""us"":""28"",""fgn"":0,""com"":""11"",""total"":39},{""year"":""2018"",""us"":""33"",""fgn"":0,""com"":""11"",""total"":44},{""year"":""2019"",""us"":""36"",""fgn"":0,""com"":""11"",""total"":47},{""year"":""2020"",""us"":""50"",""fgn"":0,""com"":""10"",""total"":60},{""year"":""2021"",""us"":""63"",""fgn"":0,""com"":""9"",""total"":72},{""year"":""2022"",""us"":""80"",""fgn"":0,""com"":""5"",""total"":85}]"
Mosquito control,2002,2008,Maintenance,$54K - $128K,Mosquito Authority,Main Line Brands,#294,Ranked #290 last year,"[{""year"":""2016"",""us"":""386"",""fgn"":0,""com"":""1"",""total"":387},{""year"":""2017"",""us"":""402"",""fgn"":2,""com"":""1"",""total"":405},{""year"":""2018"",""us"":""416"",""fgn"":1,""com"":""0"",""total"":417},{""year"":""2019"",""us"":""440"",""fgn"":1,""com"":""0"",""total"":441},{""year"":""2020"",""us"":""484"",""fgn"":1,""com"":""0"",""total"":485},{""year"":""2021"",""us"":""506"",""fgn"":1,""com"":""0"",""total"":507},{""year"":""2022"",""us"":""526"",""fgn"":1,""com"":""1"",""total"":528},{""year"":""2023"",""us"":""539"",""fgn"":1,""com"":""1"",""total"":541}]"
Mexican food,2000,2001,Food,$566K - $1.6M,Moe's Southwest Grill,Focus Brands LLC,#293,Ranked #268 last year,"[{""year"":""2013"",""us"":""500"",""fgn"":3,""com"":""4"",""total"":507},{""year"":""2014"",""us"":""545"",""fgn"":5,""com"":""4"",""total"":554},{""year"":""2015"",""us"":""632"",""fgn"":2,""com"":""5"",""total"":639},{""year"":""2016"",""us"":""658"",""fgn"":3,""com"":""5"",""total"":666},{""year"":""2017"",""us"":""675"",""fgn"":2,""com"":""5"",""total"":682},{""year"":""2018"",""us"":""714"",""fgn"":2,""com"":""5"",""total"":721},{""year"":""2019"",""us"":""712"",""fgn"":1,""com"":""5"",""total"":718},{""year"":""2020"",""us"":""693"",""fgn"":1,""com"":""3"",""total"":697},{""year"":""2021"",""us"":""674"",""fgn"":3,""com"":""1"",""total"":678},{""year"":""2022"",""us"":""641"",""fgn"":0,""com"":""1"",""total"":642}]"
"Smoothies, juices, and bowls",1991,1993,Food,$170K - $843K,Jamba,Focus Brands LLC,#292,Ranked #189 last year,"[{""year"":""2015"",""us"":""598"",""fgn"":65,""com"":""206"",""total"":869},{""year"":""2016"",""us"":""751"",""fgn"":66,""com"":""68"",""total"":885},{""year"":""2017"",""us"":""793"",""fgn"":70,""com"":""53"",""total"":916},{""year"":""2018"",""us"":""783"",""fgn"":66,""com"":""51"",""total"":900},{""year"":""2019"",""us"":""792"",""fgn"":61,""com"":""7"",""total"":860},{""year"":""2020"",""us"":""736"",""fgn"":61,""com"":""4"",""total"":801},{""year"":""2021"",""us"":""781"",""fgn"":78,""com"":""4"",""total"":863},{""year"":""2022"",""us"":""708"",""fgn"":64,""com"":""44"",""total"":816}]"
Tutoring,2000,2003,Children's Businesses,$94K - $139K,Tutor Doctor,Clear Summit Group,#291,Ranked #197 last year,"[{""year"":""2013"",""us"":""237"",""fgn"":163,""com"":""1"",""total"":401},{""year"":""2014"",""us"":""237"",""fgn"":165,""com"":""0"",""total"":402},{""year"":""2015"",""us"":""254"",""fgn"":198,""com"":""0"",""total"":452},{""year"":""2016"",""us"":""254"",""fgn"":221,""com"":""1"",""total"":476},{""year"":""2017"",""us"":""294"",""fgn"":237,""com"":""1"",""total"":532},{""year"":""2018"",""us"":""299"",""fgn"":255,""com"":""1"",""total"":555},{""year"":""2019"",""us"":""355"",""fgn"":307,""com"":""0"",""total"":662},{""year"":""2020"",""us"":""354"",""fgn"":332,""com"":""0"",""total"":686},{""year"":""2021"",""us"":""376"",""fgn"":351,""com"":""0"",""total"":727},{""year"":""2022"",""us"":""381"",""fgn"":353,""com"":""0"",""total"":734}]"
"Junk removal, moving, and labor services",2003,2007,Services (Other),$159K - $284K,College Hunks Hauling Junk & Moving,"Omar Soliman, CEO",#290,Ranked #349 last year,"[{""year"":""2013"",""us"":""46"",""fgn"":0,""com"":""2"",""total"":48},{""year"":""2014"",""us"":""45"",""fgn"":0,""com"":""3"",""total"":48},{""year"":""2015"",""us"":""63"",""fgn"":0,""com"":""3"",""total"":66},{""year"":""2016"",""us"":""79"",""fgn"":3,""com"":""3"",""total"":85},{""year"":""2017"",""us"":""79"",""fgn"":3,""com"":""3"",""total"":85},{""year"":""2018"",""us"":""103"",""fgn"":1,""com"":""2"",""total"":106},{""year"":""2019"",""us"":""113"",""fgn"":1,""com"":""3"",""total"":117},{""year"":""2020"",""us"":""124"",""fgn"":2,""com"":""3"",""total"":129},{""year"":""2021"",""us"":""151"",""fgn"":2,""com"":""3"",""total"":156},{""year"":""2022"",""us"":""176"",""fgn"":2,""com"":""3"",""total"":181}]"
